date,state,district,pincode,bio_age_5_17,bio_age_17_
19-09-2025,Gujarat,Anand,388640,15,4
19-09-2025,Gujarat,Arvalli,383245,11,2
19-09-2025,Gujarat,Arvalli,383251,4,0
19-09-2025,Gujarat,Arvalli,383276,3,1
19-09-2025,Gujarat,Arvalli,383320,0,1
19-09-2025,Gujarat,Banaskantha,385001,58,36
19-09-2025,Gujarat,Banaskantha,385110,19,15
19-09-2025,Gujarat,Banaskantha,385330,37,25
19-09-2025,Gujarat,Banaskantha,385410,4,6
19-09-2025,Gujarat,Banaskantha,385505,5,10
19-09-2025,Gujarat,Banaskantha,385530,19,18
19-09-2025,Gujarat,Banaskantha,385540,5,10
19-09-2025,Gujarat,Bharuch,392030,2,2
19-09-2025,Gujarat,Bharuch,392140,7,8
19-09-2025,Gujarat,Bharuch,392160,9,6
19-09-2025,Gujarat,Bharuch,392230,1,0
19-09-2025,Gujarat,Bharuch,392240,6,0
19-09-2025,Gujarat,Bharuch,393002,1,3
19-09-2025,Gujarat,Bharuch,393020,1,1
19-09-2025,Gujarat,Bharuch,393105,2,1
19-09-2025,Gujarat,Bharuch,393110,8,4
19-09-2025,Gujarat,Bharuch,394810,8,6
19-09-2025,Gujarat,Bhavnagar,364001,23,25
19-09-2025,Gujarat,Bhavnagar,364002,26,18
19-09-2025,Gujarat,Bhavnagar,364120,5,6
19-09-2025,Gujarat,Bhavnagar,364140,9,8
19-09-2025,Gujarat,Bhavnagar,364260,19,8
19-09-2025,Gujarat,Bhavnagar,364265,9,8
19-09-2025,Gujarat,Bhavnagar,364275,1,3
19-09-2025,Gujarat,Bhavnagar,364310,5,9
19-09-2025,Gujarat,Bhavnagar,364320,2,2
19-09-2025,Gujarat,Bhavnagar,364750,3,9
19-09-2025,Gujarat,Bhavnagar,365565,1,2
19-09-2025,Gujarat,Botad,363415,2,0
19-09-2025,Gujarat,Botad,363610,1,0
19-09-2025,Gujarat,Botad,364750,2,0
19-09-2025,Gujarat,Botad,382245,9,12
19-09-2025,Gujarat,Botad,382450,6,8
19-09-2025,Gujarat,Chhotaudepur,391135,6,2
19-09-2025,Gujarat,Chhotaudepur,391150,12,13
19-09-2025,Gujarat,Chhotaudepur,391170,11,3
19-09-2025,Gujarat,Dahod,389120,1,0
19-09-2025,Gujarat,Dahod,389152,6,4
19-09-2025,Gujarat,Devbhumi Dwarka,361315,7,7
19-09-2025,Gujarat,Devbhumi Dwarka,361347,9,0
19-09-2025,Gujarat,Dohad,389170,0,11
19-09-2025,Gujarat,Gandhinagar,380005,0,1
19-09-2025,Gujarat,Gandhinagar,382030,2,1
19-09-2025,Gujarat,Gandhinagar,382115,12,5
19-09-2025,Gujarat,Gandhinagar,382305,9,13
19-09-2025,Gujarat,Gandhinagar,382320,0,4
19-09-2025,Gujarat,Gandhinagar,382421,10,10
19-09-2025,Gujarat,Gandhinagar,382423,0,3
19-09-2025,Gujarat,Gandhinagar,382428,3,1
19-09-2025,Gujarat,Gandhinagar,382620,0,1
19-09-2025,Gujarat,Gir Somnath,362150,19,5
19-09-2025,Gujarat,Gir Somnath,362266,11,6
19-09-2025,Gujarat,Gir Somnath,362550,4,1
19-09-2025,Gujarat,Gir Somnath,362560,17,3
19-09-2025,Gujarat,Gir Somnath,362710,1,0
19-09-2025,Gujarat,Jamnagar,360531,1,4
19-09-2025,Gujarat,Jamnagar,361001,18,17
19-09-2025,Gujarat,Jamnagar,361004,13,10
19-09-2025,Gujarat,Jamnagar,361008,11,8
19-09-2025,Gujarat,Jamnagar,361010,2,4
19-09-2025,Gujarat,Jamnagar,361012,11,8
19-09-2025,Gujarat,Jamnagar,361110,3,0
19-09-2025,Gujarat,Jamnagar,361315,1,10
19-09-2025,Gujarat,Jamnagar,361325,0,4
19-09-2025,Gujarat,Junagadh,362002,3,5
19-09-2025,Gujarat,Junagadh,362011,1,2
19-09-2025,Gujarat,Junagadh,362222,2,6
19-09-2025,Gujarat,Junagadh,362240,5,3
19-09-2025,Gujarat,Junagadh,362310,2,0
19-09-2025,Gujarat,Junagadh,362530,1,2
19-09-2025,Gujarat,Junagadh,362625,0,2
19-09-2025,Gujarat,Kachchh,370430,4,4
19-09-2025,Gujarat,Kachchh,370435,1,0
19-09-2025,Gujarat,Kachchh,370490,3,3
19-09-2025,Gujarat,Kachchh,370615,4,1
19-09-2025,Gujarat,Kheda,387002,9,8
19-09-2025,Gujarat,Kheda,387240,1,3
19-09-2025,Gujarat,Kheda,387360,7,2
19-09-2025,Gujarat,Kheda,387430,11,16
19-09-2025,Gujarat,Kheda,387510,2,0
19-09-2025,Gujarat,Kheda,387520,0,1
19-09-2025,Gujarat,Kheda,387540,6,1
19-09-2025,Gujarat,Kheda,387570,6,6
19-09-2025,Gujarat,Mahesana,382145,1,0
19-09-2025,Gujarat,Mahesana,382705,7,13
19-09-2025,Gujarat,Mahesana,382710,4,5
19-09-2025,Gujarat,Mahesana,382830,2,3
19-09-2025,Gujarat,Mahesana,382850,0,6
19-09-2025,Gujarat,Mahesana,382860,0,1
19-09-2025,Gujarat,Mahesana,382865,0,6
19-09-2025,Gujarat,Mahesana,384002,23,10
19-09-2025,Gujarat,Mahesana,384310,4,1
19-09-2025,Gujarat,Mahesana,384320,2,1
19-09-2025,Gujarat,Mahesana,384350,2,5
19-09-2025,Gujarat,Mahesana,384360,0,1
19-09-2025,Gujarat,Mahesana,384421,10,10
19-09-2025,Gujarat,Mahesana,384430,1,5
19-09-2025,Gujarat,Mahesana,384435,2,0
19-09-2025,Gujarat,Mahisagar,389240,17,13
19-09-2025,Gujarat,Mahisagar,389265,4,7
19-09-2025,Gujarat,Morbi,363351,2,0
19-09-2025,Gujarat,Morbi,363641,22,17
19-09-2025,Gujarat,Narmada,393145,5,11
19-09-2025,Gujarat,Narmada,393150,0,1
19-09-2025,Gujarat,Narmada,393151,10,11
19-09-2025,Gujarat,Narmada,393155,0,5
19-09-2025,Gujarat,Navsari,396325,2,4
19-09-2025,Gujarat,Navsari,396370,0,1
19-09-2025,Gujarat,Navsari,396380,1,4
19-09-2025,Gujarat,Navsari,396469,0,1
19-09-2025,Gujarat,Navsari,396475,1,1
19-09-2025,Gujarat,Navsari,396560,11,4
19-09-2025,Gujarat,Navsari,396570,0,1
19-09-2025,Gujarat,Panchmahals,389190,1,3
19-09-2025,Gujarat,Panchmahals,389341,10,9
19-09-2025,Gujarat,Panchmahals,389360,6,9
19-09-2025,Gujarat,Panchmahals,389365,45,19
19-09-2025,Gujarat,Panchmahals,389390,6,8
19-09-2025,Gujarat,Patan,384221,4,5
19-09-2025,Gujarat,Patan,385360,19,30
19-09-2025,Gujarat,Porbandar,360510,0,1
19-09-2025,Gujarat,Porbandar,360576,3,6
19-09-2025,Gujarat,Porbandar,360577,1,0
19-09-2025,Gujarat,Porbandar,360590,11,10
19-09-2025,Gujarat,Rajkot,360002,90,27
19-09-2025,Gujarat,Rajkot,360030,3,2
19-09-2025,Gujarat,Rajkot,360040,3,1
19-09-2025,Gujarat,Rajkot,360070,1,1
19-09-2025,Gujarat,Rajkot,360110,11,12
19-09-2025,Gujarat,Rajkot,360405,0,7
19-09-2025,Gujarat,Rajkot,360440,1,1
19-09-2025,Gujarat,Rajkot,363655,0,1
19-09-2025,Gujarat,Rajkot,364485,1,1
19-09-2025,Gujarat,Rajkot,364490,2,7
19-09-2025,Gujarat,Rajkot,364750,2,4
19-09-2025,Gujarat,Sabarkantha,383010,3,4
19-09-2025,Gujarat,Sabarkantha,383120,1,5
19-09-2025,Gujarat,Sabarkantha,383205,8,15
19-09-2025,Gujarat,Sabarkantha,383235,6,8
19-09-2025,Gujarat,Sabarkantha,383246,0,4
19-09-2025,Gujarat,Sabarkantha,383251,5,3
19-09-2025,Gujarat,Sabarkantha,383276,1,8
19-09-2025,Gujarat,Sabarkantha,383307,2,3
19-09-2025,Gujarat,Sabarkantha,383315,5,13
19-09-2025,Gujarat,Sabarkantha,383462,6,12
19-09-2025,Gujarat,Surat,394105,9,4
19-09-2025,Gujarat,Surat,394150,6,3
19-09-2025,Gujarat,Surat,394160,5,9
19-09-2025,Gujarat,Surat,394170,4,2
19-09-2025,Gujarat,Surat,394180,3,9
19-09-2025,Gujarat,Surat,394250,2,1
19-09-2025,Gujarat,Surat,394270,2,0
19-09-2025,Gujarat,Surat,394305,5,1
19-09-2025,Gujarat,Surat,394315,0,1
19-09-2025,Gujarat,Surat,394327,2,2
19-09-2025,Gujarat,Surat,394360,0,1
19-09-2025,Gujarat,Surat,394520,2,3
19-09-2025,Gujarat,Surat,394550,2,3
19-09-2025,Gujarat,Surat,395003,23,26
19-09-2025,Gujarat,Surat,395004,33,44
19-09-2025,Gujarat,Surat,395008,8,4
19-09-2025,Gujarat,Surat,395345,3,1
19-09-2025,Gujarat,Surendra Nagar,363001,10,5
19-09-2025,Gujarat,Surendra Nagar,363310,52,29
19-09-2025,Gujarat,Surendra Nagar,363510,9,4
19-09-2025,Gujarat,Surendra Nagar,363610,1,0
19-09-2025,Gujarat,Surendra Nagar,382130,0,1
19-09-2025,Gujarat,Surendra Nagar,382765,4,4
19-09-2025,Gujarat,Surendra Nagar,382780,6,7
19-09-2025,Gujarat,Surendranagar,363030,0,2
19-09-2025,Gujarat,Surendranagar,363320,0,2
19-09-2025,Gujarat,Surendranagar,363410,0,1
19-09-2025,Gujarat,Tapi,394365,34,10
19-09-2025,Gujarat,Tapi,394655,11,9
19-09-2025,Gujarat,Tapi,394680,2,0
19-09-2025,Gujarat,The Dangs,394715,12,10
19-09-2025,Gujarat,Vadodara,390001,17,8
19-09-2025,Gujarat,Vadodara,390008,2,6
19-09-2025,Gujarat,Vadodara,390011,10,22
19-09-2025,Gujarat,Vadodara,390020,5,9
19-09-2025,Gujarat,Vadodara,391101,1,4
19-09-2025,Gujarat,Vadodara,391105,6,5
19-09-2025,Gujarat,Vadodara,391107,1,4
19-09-2025,Gujarat,Vadodara,391160,14,38
19-09-2025,Gujarat,Vadodara,391175,0,1
19-09-2025,Gujarat,Vadodara,391220,1,4
19-09-2025,Gujarat,Vadodara,391243,0,1
19-09-2025,Gujarat,Vadodara,391330,11,17
19-09-2025,Gujarat,Vadodara,392310,1,0
19-09-2025,Gujarat,Vadodara,393105,0,1
19-09-2025,Gujarat,Valsad,396045,4,2
19-09-2025,Gujarat,Valsad,396050,38,24
19-09-2025,Gujarat,Valsad,396065,60,64
19-09-2025,Gujarat,Valsad,396120,6,2
19-09-2025,Gujarat,Valsad,396135,0,2
19-09-2025,Gujarat,Valsad,396145,5,14
19-09-2025,Gujarat,Valsad,396191,33,27
19-09-2025,Gujarat,Valsad,396193,17,4
19-09-2025,Gujarat,Valsad,396230,0,6
19-09-2025,Gujarat,Valsad,396235,1,2
19-09-2025,Haryana,Ambala,133004,6,3
19-09-2025,Haryana,Ambala,134007,2,2
19-09-2025,Haryana,Ambala,134201,7,2
19-09-2025,Haryana,Bhiwani,127026,1,2
19-09-2025,Haryana,Bhiwani,127029,2,8
19-09-2025,Haryana,Bhiwani,127030,7,11
19-09-2025,Haryana,Bhiwani,127031,16,14
19-09-2025,Haryana,Bhiwani,127042,7,6
19-09-2025,Haryana,Bhiwani,127309,14,7
19-09-2025,Haryana,Charkhi Dadri,127022,0,1
19-09-2025,Haryana,Charkhi Dadri,127306,7,6
19-09-2025,Haryana,Charkhi Dadri,127310,1,1
19-09-2025,Haryana,Faridabad,121005,58,50
19-09-2025,Haryana,Fatehabad,125052,1,0
19-09-2025,Haryana,Gurgaon,122004,13,4
19-09-2025,Haryana,Gurgaon,122006,2,2
19-09-2025,Haryana,Gurgaon,122016,4,2
19-09-2025,Haryana,Gurgaon,122101,4,7
19-09-2025,Haryana,Gurgaon,122414,8,6
19-09-2025,Haryana,Gurgaon,122506,11,12
19-09-2025,Haryana,Hisar,125047,3,4
19-09-2025,Haryana,Hisar,125121,39,32
19-09-2025,Haryana,Jhajjar,124108,7,9
19-09-2025,Haryana,Jhajjar,124412,0,3
19-09-2025,Haryana,Jhajjar,124506,1,2
19-09-2025,Haryana,Jind,126101,4,5
19-09-2025,Haryana,Jind,126115,23,21
19-09-2025,Haryana,Kaithal,136027,83,72
19-09-2025,Haryana,Karnal,132022,5,3
19-09-2025,Haryana,Karnal,132023,2,4
19-09-2025,Haryana,Karnal,132037,6,8
19-09-2025,Haryana,Karnal,132041,8,21
19-09-2025,Haryana,Karnal,132054,15,14
19-09-2025,Haryana,Karnal,132114,20,21
19-09-2025,Haryana,Mahendragarh,123029,28,34
19-09-2025,Haryana,Mewat,122105,80,47
19-09-2025,Haryana,Palwal,121103,45,30
19-09-2025,Haryana,Palwal,121107,11,7
19-09-2025,Haryana,Panchkula,134107,9,6
19-09-2025,Haryana,Panchkula,134109,12,9
19-09-2025,Haryana,Panchkula,134118,28,22
19-09-2025,Haryana,Panchkula,134205,1,0
19-09-2025,Haryana,Panipat,132103,123,173
19-09-2025,Haryana,Panipat,132108,4,5
19-09-2025,Haryana,Panipat,132113,21,14
19-09-2025,Haryana,Rewari,123035,5,4
19-09-2025,Haryana,Rewari,123101,9,1
19-09-2025,Haryana,Rewari,123110,8,2
19-09-2025,Haryana,Rewari,123301,1,0
19-09-2025,Haryana,Rewari,123501,17,4
19-09-2025,Haryana,Rohtak,124111,10,7
19-09-2025,Haryana,Rohtak,124303,10,6
19-09-2025,Haryana,Rohtak,124501,2,5
19-09-2025,Haryana,Sirsa,125101,1,0
19-09-2025,Haryana,Sirsa,125110,21,14
19-09-2025,Haryana,Sirsa,125201,20,24
19-09-2025,Haryana,Sonipat,131027,5,4
19-09-2025,Haryana,Sonipat,131039,2,1
19-09-2025,Haryana,Sonipat,131302,10,14
19-09-2025,Haryana,Sonipat,131408,35,5
19-09-2025,Haryana,Yamuna Nagar,135021,3,11
19-09-2025,Himachal Pradesh,Bilaspur,174013,1,1
19-09-2025,Himachal Pradesh,Bilaspur,174023,0,4
19-09-2025,Himachal Pradesh,Chamba,176303,2,2
19-09-2025,Himachal Pradesh,Chamba,176312,4,2
19-09-2025,Himachal Pradesh,Chamba,176319,6,3
19-09-2025,Himachal Pradesh,Chamba,176325,1,0
19-09-2025,Himachal Pradesh,Hamirpur,174311,1,2
19-09-2025,Himachal Pradesh,Hamirpur,174405,0,2
19-09-2025,Himachal Pradesh,Hamirpur,176048,2,0
19-09-2025,Himachal Pradesh,Hamirpur,176110,10,1
19-09-2025,Himachal Pradesh,Hamirpur,177020,7,2
19-09-2025,Himachal Pradesh,Hamirpur,177025,2,1
19-09-2025,Himachal Pradesh,Hamirpur,177028,0,1
19-09-2025,Himachal Pradesh,Hamirpur,177042,0,2
19-09-2025,Himachal Pradesh,Hamirpur,177401,2,0
19-09-2025,Himachal Pradesh,Kangra,176025,2,1
19-09-2025,Himachal Pradesh,Kangra,176027,18,2
19-09-2025,Himachal Pradesh,Kangra,176071,0,1
19-09-2025,Himachal Pradesh,Kangra,176073,1,0
19-09-2025,Himachal Pradesh,Kangra,176101,1,1
19-09-2025,Himachal Pradesh,Kangra,176128,9,1
19-09-2025,Himachal Pradesh,Kangra,176206,27,9
19-09-2025,Himachal Pradesh,Kangra,176216,0,2
19-09-2025,Himachal Pradesh,Kangra,176217,1,2
19-09-2025,Himachal Pradesh,Kangra,176401,2,9
19-09-2025,Himachal Pradesh,Kangra,177101,3,6
19-09-2025,Himachal Pradesh,Kangra,177106,4,1
19-09-2025,Himachal Pradesh,Kangra,177113,1,0
19-09-2025,Himachal Pradesh,Kinnaur,172101,4,2
19-09-2025,Himachal Pradesh,Kullu,172002,0,2
19-09-2025,Himachal Pradesh,Kullu,172026,18,3
19-09-2025,Himachal Pradesh,Kullu,175126,0,1
19-09-2025,Himachal Pradesh,Kullu,175141,2,2
19-09-2025,Himachal Pradesh,Mandi,171303,3,0
19-09-2025,Himachal Pradesh,Mandi,171304,5,6
19-09-2025,Himachal Pradesh,Mandi,174402,2,0
19-09-2025,Himachal Pradesh,Mandi,175005,6,5
19-09-2025,Himachal Pradesh,Mandi,175006,5,9
19-09-2025,Himachal Pradesh,Mandi,175008,2,4
19-09-2025,Himachal Pradesh,Mandi,175025,1,2
19-09-2025,Himachal Pradesh,Mandi,175027,6,5
19-09-2025,Himachal Pradesh,Mandi,175028,2,0
19-09-2025,Himachal Pradesh,Mandi,175038,2,3
19-09-2025,Himachal Pradesh,Mandi,175039,0,1
19-09-2025,Himachal Pradesh,Mandi,175045,0,1
19-09-2025,Himachal Pradesh,Mandi,175051,0,1
19-09-2025,Himachal Pradesh,Mandi,175052,8,1
19-09-2025,Himachal Pradesh,Mandi,175106,2,3
19-09-2025,Himachal Pradesh,Mandi,176090,0,2
19-09-2025,Himachal Pradesh,Mandi,176122,4,2
19-09-2025,Himachal Pradesh,Shimla,171001,14,4
19-09-2025,Himachal Pradesh,Shimla,171003,5,1
19-09-2025,Himachal Pradesh,Shimla,171204,1,0
19-09-2025,Himachal Pradesh,Shimla,171208,4,3
19-09-2025,Himachal Pradesh,Shimla,171225,0,1
19-09-2025,Himachal Pradesh,Shimla,172027,1,0
19-09-2025,Himachal Pradesh,Shimla,172029,4,0
19-09-2025,Himachal Pradesh,Shimla,172101,1,1
19-09-2025,Himachal Pradesh,Sirmaur,171226,1,2
19-09-2025,Himachal Pradesh,Solan,173206,2,3
19-09-2025,Himachal Pradesh,Solan,173215,0,2
19-09-2025,Himachal Pradesh,Solan,173218,1,4
19-09-2025,Himachal Pradesh,Solan,173220,5,6
19-09-2025,Himachal Pradesh,Solan,173233,1,1
19-09-2025,Himachal Pradesh,Una,174308,3,2
19-09-2025,Himachal Pradesh,Una,177110,1,2
19-09-2025,Himachal Pradesh,Una,177201,0,1
19-09-2025,Himachal Pradesh,Una,177202,1,0
19-09-2025,Himachal Pradesh,Una,177203,1,2
19-09-2025,Jammu & Kashmir,Kathua,184101,1,0
19-09-2025,Jammu and Kashmir,Anantnag,192129,2,1
19-09-2025,Jammu and Kashmir,Anantnag,192212,7,11
19-09-2025,Jammu and Kashmir,Anantnag,192221,4,1
19-09-2025,Jammu and Kashmir,Badgam,190018,0,1
19-09-2025,Jammu and Kashmir,Badgam,191111,4,16
19-09-2025,Jammu and Kashmir,Badgam,191112,1,4
19-09-2025,Jammu and Kashmir,Bandipore,193502,49,11
19-09-2025,Jammu and Kashmir,Baramula,193221,3,1
19-09-2025,Jammu and Kashmir,Budgam,191111,26,3
19-09-2025,Jammu and Kashmir,Doda,182205,0,1
19-09-2025,Jammu and Kashmir,Ganderbal,190006,0,4
19-09-2025,Jammu and Kashmir,Jammu,180002,18,14
19-09-2025,Jammu and Kashmir,Jammu,180020,1,2
19-09-2025,Jammu and Kashmir,Jammu,181122,33,12
19-09-2025,Jammu and Kashmir,Jammu,181143,0,1
19-09-2025,Jammu and Kashmir,Jammu,181152,1,4
19-09-2025,Jammu and Kashmir,Jammu,181201,20,15
19-09-2025,Jammu and Kashmir,Jammu,181221,6,7
19-09-2025,Jammu and Kashmir,Jammu,185153,0,2
19-09-2025,Jammu and Kashmir,Kathua,184104,4,4
19-09-2025,Jammu and Kashmir,Kathua,184142,8,1
19-09-2025,Jammu and Kashmir,Kathua,184148,4,2
19-09-2025,Jammu and Kashmir,Kathua,184202,1,1
19-09-2025,Jammu and Kashmir,Kathua,184203,11,5
19-09-2025,Jammu and Kashmir,Kulgam,192231,52,36
19-09-2025,Jammu and Kashmir,Kupwara,193221,6,10
19-09-2025,Jammu and Kashmir,Kupwara,193224,19,22
19-09-2025,Jammu and Kashmir,Leh,194101,13,5
19-09-2025,Jammu and Kashmir,Leh,194106,16,1
19-09-2025,Jammu and Kashmir,Leh,194401,15,2
19-09-2025,Jammu and Kashmir,Pulwama,191102,0,2
19-09-2025,Jammu and Kashmir,Pulwama,192306,8,2
19-09-2025,Jammu and Kashmir,Punch,185101,20,9
19-09-2025,Jammu and Kashmir,Rajouri,185135,7,4
19-09-2025,Jammu and Kashmir,Rajouri,185153,0,3
19-09-2025,Jammu and Kashmir,Rajouri,185203,5,2
19-09-2025,Jammu and Kashmir,Reasi,182312,1,1
19-09-2025,Jammu and Kashmir,Samba,184141,2,3
19-09-2025,Jammu and Kashmir,Srinagar,190015,9,18
19-09-2025,Jammu and Kashmir,Srinagar,190019,2,2
19-09-2025,Jammu and Kashmir,Srinagar,190023,3,3
19-09-2025,Jammu and Kashmir,Srinagar,191123,2,3
19-09-2025,Jammu and Kashmir,Srinagar,191131,0,1
19-09-2025,Jammu and Kashmir,Udhampur,182101,7,5
19-09-2025,Jammu and Kashmir,Udhampur,182122,30,17
19-09-2025,Jammu and Kashmir,Udhampur,182124,6,8
19-09-2025,Jharkhand,Bokaro,825102,13,8
19-09-2025,Jharkhand,Bokaro,829112,7,6
19-09-2025,Jharkhand,Bokaro,829114,17,5
19-09-2025,Jharkhand,Bokaro,829121,17,28
19-09-2025,Jharkhand,Chatra,825103,80,39
19-09-2025,Jharkhand,Chatra,825408,98,67
19-09-2025,Jharkhand,Deoghar,814120,3,3
19-09-2025,Jharkhand,Deoghar,814150,21,28
19-09-2025,Jharkhand,Dhanbad,826001,14,31
19-09-2025,Jharkhand,Dhanbad,826003,0,1
19-09-2025,Jharkhand,Dhanbad,828111,14,16
19-09-2025,Jharkhand,Dhanbad,828126,2,3
19-09-2025,Jharkhand,Dhanbad,828201,13,19
19-09-2025,Jharkhand,Dhanbad,828203,5,8
19-09-2025,Jharkhand,Dhanbad,828307,2,3
19-09-2025,Jharkhand,Dumka,814101,15,22
19-09-2025,Jharkhand,Dumka,814166,3,0
19-09-2025,Jharkhand,East Singhbhum,831001,1,7
19-09-2025,Jharkhand,East Singhbhum,831008,2,1
19-09-2025,Jharkhand,East Singhbhum,832302,21,22
19-09-2025,Jharkhand,East Singhbhum,832304,17,12
19-09-2025,Jharkhand,Garhwa,822114,55,77
19-09-2025,Jharkhand,Garhwa,822127,0,1
19-09-2025,Jharkhand,Giridih,825167,14,11
19-09-2025,Jharkhand,Giridih,825320,26,6
19-09-2025,Jharkhand,Godda,814147,7,27
19-09-2025,Jharkhand,Godda,814154,15,28
19-09-2025,Jharkhand,Godda,814155,19,19
19-09-2025,Jharkhand,Godda,814160,12,20
19-09-2025,Jharkhand,Godda,814165,8,6
19-09-2025,Jharkhand,Gumla,835201,0,2
19-09-2025,Jharkhand,Gumla,835206,17,46
19-09-2025,Jharkhand,Gumla,835211,0,5
19-09-2025,Jharkhand,Gumla,835220,6,16
19-09-2025,Jharkhand,Gumla,835230,17,19
19-09-2025,Jharkhand,Hazaribag,825313,3,4
19-09-2025,Jharkhand,Hazaribag,825319,0,1
19-09-2025,Jharkhand,Hazaribag,825402,2,2
19-09-2025,Jharkhand,Hazaribagh,825313,5,7
19-09-2025,Jharkhand,Hazaribagh,825321,2,8
19-09-2025,Jharkhand,Hazaribagh,825330,6,5
19-09-2025,Jharkhand,Hazaribagh,829101,0,4
19-09-2025,Jharkhand,Jamtara,815351,17,33
19-09-2025,Jharkhand,Jamtara,815352,31,44
19-09-2025,Jharkhand,Khunti,835209,8,9
19-09-2025,Jharkhand,Khunti,835216,21,58
19-09-2025,Jharkhand,Khunti,835225,12,47
19-09-2025,Jharkhand,Khunti,835234,3,6
19-09-2025,Jharkhand,Kodarma,825318,0,1
19-09-2025,Jharkhand,Koderma,825109,3,2
19-09-2025,Jharkhand,Koderma,825407,2,2
19-09-2025,Jharkhand,Koderma,825410,1,1
19-09-2025,Jharkhand,Latehar,822126,26,18
19-09-2025,Jharkhand,Latehar,829206,16,25
19-09-2025,Jharkhand,Latehar,829207,10,14
19-09-2025,Jharkhand,Latehar,829208,5,1
19-09-2025,Jharkhand,Lohardaga,835214,12,8
19-09-2025,Jharkhand,Lohardaga,835302,60,102
19-09-2025,Jharkhand,Pakur,816102,0,3
19-09-2025,Jharkhand,Pakur,816106,14,29
19-09-2025,Jharkhand,Pakur,816107,50,28
19-09-2025,Jharkhand,Palamu,822110,39,25
19-09-2025,Jharkhand,Pashchimi Singhbhum,833201,17,48
19-09-2025,Jharkhand,Pashchimi Singhbhum,833214,0,1
19-09-2025,Jharkhand,Purbi Singhbhum,831001,2,3
19-09-2025,Jharkhand,Purbi Singhbhum,831006,0,1
19-09-2025,Jharkhand,Purbi Singhbhum,831011,2,11
19-09-2025,Jharkhand,Purbi Singhbhum,831012,1,9
19-09-2025,Jharkhand,Purbi Singhbhum,832107,0,1
19-09-2025,Jharkhand,Ramgarh,825316,1,1
19-09-2025,Jharkhand,Ramgarh,829106,0,4
19-09-2025,Jharkhand,Ramgarh,829117,5,4
19-09-2025,Jharkhand,Ramgarh,829135,2,1
19-09-2025,Jharkhand,Ranchi,829209,1,2
19-09-2025,Jharkhand,Ranchi,834003,6,8
19-09-2025,Jharkhand,Ranchi,834008,3,11
19-09-2025,Jharkhand,Ranchi,834009,5,14
19-09-2025,Jharkhand,Ranchi,835101,10,2
19-09-2025,Jharkhand,Ranchi,835203,0,1
19-09-2025,Jharkhand,Ranchi,835219,13,19
19-09-2025,Jharkhand,Ranchi,835234,17,9
