date,state,district,pincode,bio_age_5_17,bio_age_17_
01-03-2025,West Bengal,Barddhaman,713502,94,131
01-03-2025,Jharkhand,Latehar,829208,30,23
01-03-2025,Assam,Nagaon,782427,27,98
01-03-2025,Meghalaya,South West Khasi Hills,793106,69,156
01-03-2025,Rajasthan,Kota,324004,170,252
01-03-2025,Tamil Nadu,Virudhunagar,626118,20,37
01-03-2025,Tamil Nadu,Krishnagiri,635106,26,34
01-03-2025,Karnataka,Hassan,573129,31,16
01-03-2025,Tamil Nadu,Villupuram,605107,76,22
01-03-2025,Karnataka,Ballari,583220,27,10
01-03-2025,Assam,Kamrup,781101,32,24
01-03-2025,Kerala,Kozhikode,673604,37,68
01-03-2025,Telangana,Mancherial,504301,24,21
01-03-2025,Kerala,Alappuzha,690533,34,58
01-03-2025,Tamil Nadu,Namakkal,636118,30,18
01-03-2025,Himachal Pradesh,Kinnaur,172118,11,13
01-03-2025,West Bengal,Hooghly,712424,24,26
01-03-2025,Uttar Pradesh,Meerut,250401,1113,588
01-03-2025,Maharashtra,Nanded,431806,573,472
01-03-2025,Uttar Pradesh,Kushinagar,274149,353,407
01-03-2025,Uttar Pradesh,Gorakhpur,273209,582,689
01-03-2025,Punjab,Sangrur,148033,294,660
01-03-2025,Madhya Pradesh,Jhabua,457779,377,1107
01-03-2025,Tamil Nadu,The Nilgiris,643212,400,337
01-03-2025,Rajasthan,Churu,331504,66,82
01-03-2025,Uttar Pradesh,Faizabad,224205,102,44
01-03-2025,Karnataka,Davangere,583131,307,154
01-03-2025,Assam,Barpeta,781355,92,6
01-03-2025,Jharkhand,Lohardaga,835325,176,502
01-03-2025,Telangana,Nalgonda,508001,328,513
01-03-2025,Chandigarh,Chandigarh,160002,259,256
01-03-2025,Rajasthan,Udaipur,313603,210,325
01-03-2025,Madhya Pradesh,Seoni,480881,185,183
01-03-2025,Andhra Pradesh,Srikakulam,532406,70,23
01-03-2025,Haryana,Hisar,125112,91,214
01-03-2025,Tamil Nadu,Virudhunagar,626139,61,21
01-03-2025,West Bengal,Howrah,711112,34,63
01-03-2025,Jharkhand,Bokaro,827009,132,290
01-03-2025,Karnataka,Tumakuru,572125,30,33
01-03-2025,Maharashtra,Amravati,444723,145,346
01-03-2025,Maharashtra,Ratnagiri,415613,41,88
01-03-2025,West Bengal,Barddhaman,713426,47,98
01-03-2025,Jammu and Kashmir,Kathua,184148,118,145
01-03-2025,Uttarakhand,Pithoragarh,262554,48,117
01-03-2025,Andhra Pradesh,Annamayya,517214,17,39
01-03-2025,Andhra Pradesh,East Godavari,533448,82,39
01-03-2025,Karnataka,Belagavi,591263,26,24
01-03-2025,Madhya Pradesh,Narmadapuram,461771,11,107
01-03-2025,Madhya Pradesh,Ujjain,456661,119,76
01-03-2025,Telangana,Jogulamba Gadwal,509128,81,77
01-03-2025,Nagaland,Mon,798622,27,130
01-03-2025,Uttar Pradesh,Varanasi,221006,34,28
01-03-2025,Tamil Nadu,Kanniyakumari,629502,35,133
01-03-2025,Madhya Pradesh,East Nimar,450771,34,124
01-03-2025,Gujarat,Amreli,365660,24,93
01-03-2025,Kerala,Kollam,691574,49,87
01-03-2025,Andhra Pradesh,Kurnool,518452,290,95
01-03-2025,Karnataka,Raichur,584134,84,120
01-03-2025,Karnataka,Chitradurga,577554,17,40
01-03-2025,Haryana,Charkhi Dadri,127022,17,53
01-03-2025,Andhra Pradesh,Y. S. R,516193,17,14
01-03-2025,Uttar Pradesh,Chandauli,232106,523,214
01-03-2025,Telangana,Warangal,506144,21,13
01-03-2025,Rajasthan,Karauli,322255,206,228
01-03-2025,Goa,South Goa,403410,13,16
01-03-2025,Uttar Pradesh,Allahabad,211010,66,31
01-03-2025,Karnataka,Tumakuru,572136,33,29
01-03-2025,Karnataka,Dakshina Kannada,574213,17,60
01-03-2025,Kerala,Palakkad,678762,56,81
01-03-2025,West Bengal,North 24 Parganas,743291,41,70
01-03-2025,Goa,South Goa,403721,10,14
01-03-2025,Goa,South Goa,403705,104,91
01-03-2025,Andhra Pradesh,Anantapur,515271,51,52
01-03-2025,Kerala,Idukki,685586,15,55
01-03-2025,Telangana,K.v. Rangareddy,509321,63,121
01-03-2025,Andhra Pradesh,Nizamabad,503245,13,16
01-03-2025,Kerala,Kottayam,686573,27,45
01-03-2025,Assam,Kamrup Metro,781026,73,45
01-03-2025,West Bengal,Hooghly,712258,27,50
01-03-2025,Maharashtra,Mumbai Suburban,400052,58,68
01-03-2025,Karnataka,Chitradurga,577521,12,39
01-03-2025,Jammu and Kashmir,Leh,194106,18,19
01-03-2025,Tamil Nadu,Tirunelveli,627428,10,7
01-03-2025,Uttar Pradesh,Lucknow,226020,560,442
01-03-2025,Himachal Pradesh,Kangra,176051,108,167
01-03-2025,Uttar Pradesh,Budaun,243641,197,127
01-03-2025,Gujarat,Kachchh,370165,328,329
01-03-2025,Bihar,Darbhanga,847239,222,249
01-03-2025,Himachal Pradesh,Chamba,176316,201,617
01-03-2025,Tamil Nadu,Kancheepuram,603002,233,238
01-03-2025,Andhra Pradesh,Adilabad,504294,23,243
01-03-2025,West Bengal,Hooghly,712303,113,125
01-03-2025,Haryana,Fatehabad,125053,184,490
01-03-2025,Andhra Pradesh,Chittoor,517507,389,219
01-03-2025,Karnataka,Vijayapura,586102,62,38
01-03-2025,Gujarat,Surat,394315,37,49
01-03-2025,Tamil Nadu,Kancheepuram,631552,147,57
01-03-2025,Karnataka,Vijayapura,586245,99,41
01-03-2025,West Bengal,North 24 Parganas,700122,78,169
01-03-2025,Kerala,Ernakulam,682021,64,158
01-03-2025,Telangana,Warangal Rural,506342,23,15
01-03-2025,Orissa,Puri,752106,11,83
01-03-2025,Tamil Nadu,Kanniyakumari,629155,13,32
01-03-2025,Telangana,Peddapalli,505208,16,22
01-03-2025,Andhra Pradesh,Vizianagaram,535125,153,40
01-03-2025,Assam,Jorhat,785101,28,21
01-03-2025,Tamil Nadu,Chennai,600007,114,152
01-03-2025,Uttarakhand,Tehri Garhwal,249121,20,42
01-03-2025,Andhra Pradesh,Srikakulam,532221,274,138
01-03-2025,Rajasthan,Bharatpur,321411,129,145
01-03-2025,Telangana,Suryapet,508233,19,74
01-03-2025,Kerala,Thrissur,680670,27,13
01-03-2025,Telangana,Adilabad,504109,20,21
01-03-2025,Tamil Nadu,Tirupattur,635655,25,7
01-03-2025,Andhra Pradesh,East Godavari,533104,35,8
01-03-2025,Rajasthan,Alwar,301402,728,597
01-03-2025,Uttar Pradesh,Kanpur Nagar,208020,180,218
01-03-2025,Andhra Pradesh,Guntur,522411,142,78
01-03-2025,Madhya Pradesh,Bhind,477660,280,234
01-03-2025,Uttarakhand,Tehri Garhwal,249180,128,225
01-03-2025,Uttar Pradesh,Sonbhadra,231225,702,162
01-03-2025,Gujarat,Bhavnagar,364120,135,182
01-03-2025,Punjab,Patiala,140412,20,62
01-03-2025,Assam,Karbi Anglong,782441,206,98
01-03-2025,Tamil Nadu,Nagapattinam,609309,105,92
01-03-2025,Odisha,Balangir,767030,81,121
01-03-2025,Gujarat,Panchmahals,389001,555,1177
01-03-2025,Andhra Pradesh,Kurnool,518206,135,33
01-03-2025,Kerala,Wayanad,673581,22,42
01-03-2025,Gujarat,Kachchh,370605,225,106
01-03-2025,Karnataka,Vijayapura,586118,107,66
01-03-2025,Chhattisgarh,Kondagaon,494230,17,175
01-03-2025,Tamil Nadu,Villupuram,604202,196,90
01-03-2025,Tamil Nadu,Tiruvallur,631205,314,204
01-03-2025,Karnataka,Kolar,563162,189,158
01-03-2025,Tamil Nadu,The Nilgiris,643223,69,35
01-03-2025,Maharashtra,Ratnagiri,415608,54,165
01-03-2025,Tamil Nadu,Sivaganga,630410,161,152
01-03-2025,Maharashtra,Amravati,444804,90,403
01-03-2025,Andhra Pradesh,East Godavari,533006,112,123
01-03-2025,Jammu and Kashmir,Srinagar,190023,84,142
01-03-2025,Madhya Pradesh,Bhind,477449,69,56
01-03-2025,Tamil Nadu,Sivaganga,625102,14,8
01-03-2025,Andhra Pradesh,Ananthapuramu,515731,183,25
01-03-2025,Andhra Pradesh,Visakhapatnam,535273,74,200
01-03-2025,Rajasthan,Jhunjhunun,331025,32,88
01-03-2025,Kerala,Ernakulam,683541,32,102
01-03-2025,Haryana,Yamuna Nagar,135106,119,159
01-03-2025,Karnataka,Bagalkot,587113,130,143
01-03-2025,Rajasthan,Jalor,343029,320,645
01-03-2025,Maharashtra,Ratnagiri,415605,172,570
01-03-2025,Madhya Pradesh,Datia,475336,194,166
01-03-2025,West Bengal,South 24 Parganas,743609,113,161
01-03-2025,Maharashtra,Nashik,422222,50,129
01-03-2025,Madhya Pradesh,Seoni,480994,334,224
01-03-2025,Karnataka,Mandya,571463,46,34
01-03-2025,Haryana,Faridabad,121101,269,513
01-03-2025,Andhra Pradesh,Cuddapah,516502,151,59
01-03-2025,Bihar,Bhagalpur,812004,510,412
01-03-2025,Uttar Pradesh,Rampur,244925,1016,371
01-03-2025,Punjab,Tarn Taran,143305,274,557
01-03-2025,Maharashtra,Gadchiroli,441217,114,496
01-03-2025,Madhya Pradesh,Mandsaur,458669,152,146
01-03-2025,Maharashtra,Nandurbar,425426,245,212
01-03-2025,Tamil Nadu,Coimbatore,642127,214,113
01-03-2025,Gujarat,Junagadh,362225,181,337
01-03-2025,Punjab,Malerkotla,148023,220,587
01-03-2025,Kerala,Thrissur,680567,76,98
01-03-2025,Gujarat,Rajkot,360330,110,78
01-03-2025,Uttar Pradesh,Kannauj,209722,419,228
01-03-2025,West Bengal,Barddhaman,713217,10,26
01-03-2025,Gujarat,Vadodara,391740,161,211
01-03-2025,Gujarat,Kachchh,370425,46,20
01-03-2025,Nagaland,Kohima,797005,52,293
01-03-2025,Bihar,Saran,841215,116,189
01-03-2025,Tamil Nadu,Coimbatore,641027,134,255
01-03-2025,Assam,Dibrugarh,785675,92,59
01-03-2025,Himachal Pradesh,Kangra,176209,137,149
01-03-2025,Kerala,Idukki,685583,20,32
01-03-2025,Tamil Nadu,Salem,636457,149,56
01-03-2025,Gujarat,Vadodara,391220,69,90
01-03-2025,Haryana,Rohtak,124111,139,381
01-03-2025,Bihar,Jehanabad,804421,27,60
01-03-2025,Maharashtra,Palghar,401601,88,65
01-03-2025,West Bengal,Paschim Medinipur,721514,10,34
01-03-2025,Andhra Pradesh,Khammam,507160,15,60
01-03-2025,Odisha,JAJPUR,755001,28,35
01-03-2025,Andhra Pradesh,Anantapur,515311,29,79
01-03-2025,Kerala,Alappuzha,690512,11,49
01-03-2025,West Bengal,Murshidabad,742104,50,64
01-03-2025,Kerala,Thrissur,679105,15,29
01-03-2025,Uttar Pradesh,Bara Banki,227301,817,370
01-03-2025,Maharashtra,Parbhani,431536,224,355
01-03-2025,Odisha,Baleswar,756085,49,53
01-03-2025,Madhya Pradesh,Dhar,454775,363,285
01-03-2025,Assam,Barpeta,781313,435,107
01-03-2025,Rajasthan,Hanumangarh,335063,339,564
01-03-2025,Kerala,Pathanamthitta,689645,30,118
01-03-2025,Rajasthan,Sikar,332318,97,223
01-03-2025,Karnataka,Belgaum,591302,160,252
01-03-2025,Andhra Pradesh,East Godavari,533437,369,249
01-03-2025,Gujarat,Junagadh,362565,11,57
01-03-2025,Gujarat,Junagadh,362222,20,62
01-03-2025,Odisha,Kendrapara,754227,97,251
01-03-2025,Maharashtra,Amravati,444907,72,210
01-03-2025,Kerala,Alappuzha,688001,39,96
01-03-2025,Odisha,Kalahandi,766023,200,494
01-03-2025,Odisha,Sonapur,767020,10,40
01-03-2025,Telangana,K.v. Rangareddy,501509,146,325
01-03-2025,Andhra Pradesh,Kurnool,518010,335,103
01-03-2025,Uttar Pradesh,Allahabad,211006,208,175
01-03-2025,Andhra Pradesh,West Godavari,534331,107,29
01-03-2025,Telangana,Medak,502381,57,107
01-03-2025,Kerala,Thrissur,680125,23,74
01-03-2025,West Bengal,Cooch Behar,735303,35,77
01-03-2025,Tamil Nadu,Kanyakumari,629851,18,14
01-03-2025,Puducherry,Karaikal,609603,22,47
01-03-2025,Tamil Nadu,Kallakurichi,606203,33,16
01-03-2025,Rajasthan,Dausa,303313,600,765
01-03-2025,Madhya Pradesh,Dewas,455459,121,424
01-03-2025,Uttarakhand,Pithoragarh,262545,71,106
01-03-2025,Maharashtra,Yavatmal,445209,156,458
01-03-2025,Maharashtra,Chandrapur,442903,344,954
01-03-2025,Bihar,Muzaffarpur,843111,660,803
01-03-2025,Bihar,West Champaran,845449,621,773
01-03-2025,Maharashtra,Satara,415521,247,291
01-03-2025,Tamil Nadu,Tirunelveli,627424,83,36
01-03-2025,Gujarat,Junagadh,362130,108,283
01-03-2025,Kerala,Kasaragod,671123,114,143
01-03-2025,Madhya Pradesh,Morena,476228,251,175
01-03-2025,Tamil Nadu,Coimbatore,642123,83,61
01-03-2025,Uttar Pradesh,Budaun,202521,77,26
01-03-2025,Tamil Nadu,Sivaganga,630553,144,72
01-03-2025,Rajasthan,Ajmer,305815,36,45
01-03-2025,Assam,Nalbari,781312,135,18
01-03-2025,Tamil Nadu,Sivaganga,630103,27,42
01-03-2025,Bihar,Rohtas,802216,89,67
01-03-2025,Andhra Pradesh,Kurnool,518593,53,39
01-03-2025,Kerala,Ernakulam,682025,25,102
01-03-2025,Gujarat,Rajkot,364485,45,35
01-03-2025,Andhra Pradesh,Ananthapuramu,515775,205,58
01-03-2025,Jammu and Kashmir,Badgam,193401,21,50
01-03-2025,Tamil Nadu,Tirupattur,635602,58,27
01-03-2025,Uttar Pradesh,Faizabad,224172,80,41
01-03-2025,Andhra Pradesh,Krishna,521107,42,22
01-03-2025,Kerala,Thrissur,680509,17,30
01-03-2025,Himachal Pradesh,Shimla,171209,38,66
01-03-2025,Madhya Pradesh,Balaghat,481226,424,744
01-03-2025,Bihar,Jamui,811312,706,668
01-03-2025,Uttar Pradesh,Azamgarh,276203,167,129
01-03-2025,Uttar Pradesh,Unnao,229881,419,159
01-03-2025,Madhya Pradesh,Guna,473226,466,253
